Id,Manufacturer,Model,Transmission,Color,Miles_Driven,Year_Produced,Engine_Type,Engine_Cap,Category,Price($)
1,Subaru,Outback,automatic,silver,190000,2010,gasoline,2.5,universal,10900
2,Subaru,Outback,automatic,blue,290000,2002,gasoline,3,universal,5000
3,Subaru,Forester,automatic,red,402000,2001,gasoline,2.5,suv,2800
4,Subaru,Impreza,mechanical,blue,10000,1999,gasoline,3,sedan,9999
5,Subaru,Legacy,automatic,black,280000,2001,gasoline,2.5,universal,2134.11
6,Subaru,Outback,automatic,silver,132449,2011,gasoline,2.5,universal,14700
7,Subaru,Forester,automatic,black,318280,1998,gasoline,2.5,universal,3000
8,Subaru,Legacy,automatic,silver,350000,2004,gasoline,2.5,sedan,4500
9,Subaru,Outback,automatic,grey,179000,2010,gasoline,2.5,universal,12900
10,Subaru,Forester,automatic,silver,571317,1999,gasoline,2.5,universal,4200
11,Subaru,Forester,mechanical,other,280000,2003,gasoline,2,suv,6900
12,Subaru,Tribeca,automatic,grey,256000,2008,gasoline,3.6,suv,8350
13,Subaru,Forester,mechanical,other,321000,2002,gasoline,2,suv,4300
14,Subaru,Justy,mechanical,red,49999,2001,gasoline,1.3,hatchback,1666
15,Subaru,Outback,automatic,brown,154685,2011,gasoline,2.5,universal,8600
16,Subaru,Outback,automatic,black,163219,2004,gasoline,2,universal,7300
17,Subaru,Outback,automatic,other,318650,2005,gasoline,3,universal,7587.97
18,Subaru,Impreza,mechanical,blue,191000,2005,gasoline,2,sedan,10950
19,Subaru,Forester,automatic,silver,179000,2014,gasoline,2,suv,12700
20,Subaru,Forester,automatic,black,159000,2013,gasoline,2,suv,16500
21,Subaru,Outback,automatic,white,257495,2008,gasoline,2.5,universal,8700
22,Subaru,Tribeca,automatic,silver,241402,2005,gasoline,3,suv,7500
23,Subaru,Tribeca,automatic,black,188000,2006,gasoline,3,suv,8650
24,Subaru,Forester,automatic,blue,240000,2001,gasoline,2.5,universal,3500
25,Subaru,Legacy,automatic,green,249448,2002,gasoline,2.5,universal,3800
